Sport,Year,Brand,Set,CardNumber,Player,Team,Parallel_Attributes,Serial,GradingCompany,Grade,CertNumber,IsAuto,Quantity,ListPrice,PricingBasis,Confidence,CompDate,CompSource,ConditionNotes,SourcePhoto,ImageURL_pro,MarketplaceStatus
Football,,Panini,Select,,Dak Prescott,Cowboys,Silver,,,,,,1,3.00,est,est,,,,IMG_4871,,UNLISTED
Football,,Panini,Mosaic Epic Performers,11,Larry Fitzgerald,Cardinals,Green/Red,,,,,,1,3.00,est,est,,,,IMG_4871,,UNLISTED
Football,,Panini,Mosaic Men of Mastery,18,Peyton Manning,Colts,,,,,,,1,3.00,est,est,,,,IMG_4871,,UNLISTED
Football,,Panini,Mosaic Overdrive,41,Alvin Kamara,Saints,,,,,,,1,3.00,est,est,,,,IMG_4871,,UNLISTED
Football,,Panini,Mosaic Notoriety,22,Derrick Henry,Ravens,Silver,,,,,,1,3.00,est,est,,,,IMG_4872,,UNLISTED
Football,,Panini,Mosaic,10,Justin Herbert,Chargers,Pink Camo,,,,,,1,3.00,est,est,,,,IMG_4872,,UNLISTED
Football,,Panini,Mosaic,1,Kyler Murray,Cardinals,Pink Camo,,,,,,1,3.00,est,est,,,,IMG_4872,,UNLISTED
Football,,Panini,Mosaic Touchdown Masters,81,Calvin Johnson,Lions,,,,,,,1,3.00,est,est,,,,IMG_4872,,UNLISTED
Football,,Panini,Mosaic,4,Dak Prescott,Cowboys,Pink Camo,,,,,,1,3.00,est,est,,,,IMG_4873,,UNLISTED
Football,,Panini,Mosaic Touchdown Masters,11,Larry Fitzgerald,Cardinals,,,,,,,1,3.00,est,est,,,,IMG_4873,,UNLISTED
Football,,Topps,(Round 2 Pick 23),85,Trey McBride,Cardinals,,,,,,,1,3.00,est,est,,,,IMG_4874,,UNLISTED
Football,,Topps,Chrome,2,Josh Downs,Colts,Gold Xfractor,,,,,,1,3.00,est,est,,,,IMG_4874,,UNLISTED
Football,,Donruss,Optic Bash Brothers,,C.J. Stroud / Nico Collins,Texans,,,,,,,1,3.00,est,est,,,dual,IMG_4875,,UNLISTED
Football,,Topps,Chrome,87,Travis Kelce,Chiefs,,,,,,,1,3.00,est,est,,,,IMG_4906,,UNLISTED
Football,,Topps,Chrome Power Players,,Lamar Jackson,Ravens,,,,,,,1,3.00,est,est,,,,IMG_4925,,UNLISTED
Football,,Topps,Chrome (insert),,Kerry Joseph,Lions,Checkerboard,,,,,,1,3.00,est,est,,,confirm player,IMG_4926,,UNLISTED
Football,,Topps,Chrome,,Marquez Valdes-Scantling,Seahawks,Pink Xfractor,,,,,,1,3.00,est,est,,,,IMG_4926,,UNLISTED
Football,2025,Panini,Absolute Introductions,,Browns Rookie Premiere (Sanders/Judkins et al),Browns,,,,,,,1,3.00,est,est,,,"group card, sealed",IMG_4926,,UNLISTED
Football,,Topps,Chrome,65,Lane Johnson,Eagles,Pink Xfractor,,,,,,1,3.00,est,est,,,,IMG_4927,,UNLISTED
Football,,Panini,Mosaic Touchdown Masters,5,Jayden Daniels,Commanders,,,,,,,1,3.00,est,est,,,,IMG_4928,,UNLISTED
Football,,Topps,Chrome All-Chrome,88,CeeDee Lamb,Cowboys,,,,,,,1,3.00,est,est,,,,IMG_4928,,UNLISTED
Football,,Topps,Chrome,65,Lane Johnson,Eagles,,,,,,,1,3.00,est,est,,,,IMG_4928,,UNLISTED
Football,,Panini,Mosaic Men of Mastery,11,Larry Fitzgerald,Cardinals,,,,,,,1,3.00,est,est,,,,IMG_4928,,UNLISTED
Football,,Panini,Mosaic Hall of Fame,54,Brian Urlacher,Bears,Red,,,,,,1,3.00,est,est,,,,IMG_4929,,UNLISTED
Football,,Panini,Mosaic Touchdown Masters,17,Puka Nacua,Rams,,,,,,,1,3.00,est,est,,,,IMG_4929,,UNLISTED
Football,,Topps,Chrome,95,Myles Garrett,Browns,,,,,,,1,3.00,est,est,,,,IMG_4929,,UNLISTED
Football,,Panini,Mosaic,87,Travis Kelce,Chiefs,Red,,,,,,1,3.00,est,est,,,,IMG_4929,,UNLISTED
Football,,Panini,Mosaic,21,Mark Ingram II,Ravens,Silver,,,,,,1,3.00,est,est,,,,IMG_4930,,UNLISTED
Football,,Panini,Mosaic,22,Derrick Henry,Titans,Silver,,,,,,1,3.00,est,est,,,,IMG_4930,,UNLISTED
Football,,Panini,Prizm,,Micah McFadden,Giants,,,,,,,1,3.00,est,est,,,,IMG_4930,,UNLISTED
Football,,Panini,Prizm,7,Rashod Bateman,Ravens,,,,,,,1,3.00,est,est,,,,IMG_4930,,UNLISTED
Football,,Topps,Chrome,,Tee Higgins,Bengals,Xfractor,,,,,,1,3.00,est,est,,,,IMG_4931,,UNLISTED
Football,,Panini,Mosaic Montage,8,Lamar Jackson,Ravens,,,,,,,1,3.00,est,est,,,,IMG_4931,,UNLISTED
Football,,Panini,Mosaic Pro Bowl,8,Lamar Jackson,Ravens,,,,,,,1,3.00,est,est,,,,IMG_4931,,UNLISTED
Football,,Donruss,Optic,,DeAndre Hopkins,Ravens,,,,,,,1,3.00,est,est,,,,IMG_4932,,UNLISTED
Football,,Panini,Mosaic Touchdown Masters,26,Jahmyr Gibbs,Lions,,,,,,,1,3.00,est,est,,,,IMG_4932,,UNLISTED
Football,,Panini,Mosaic Touchdown Masters,8,Lamar Jackson,Ravens,,,,,,,1,3.00,est,est,,,,IMG_4933,,UNLISTED
Football,,Panini,Mosaic Hall of Fame,85,Antonio Gates,Chargers,,,,,,,1,3.00,est,est,,,,IMG_4933,,UNLISTED
Football,,Panini,Mosaic,29,Kareem Hunt,Chiefs,Pink Camo,,,,,,1,3.00,est,est,,,,IMG_4933,,UNLISTED
Football,,Topps,Chrome,11,Brandon Aiyuk,49ers,,,,,,,1,3.00,est,est,,,,IMG_4933,,UNLISTED
Football,,Panini,Mosaic,12,Joe Namath,Jets,Green,,,,,,1,3.00,est,est,,,,IMG_4933,,UNLISTED
Football,,Panini,Mosaic,81,Tim Brown,Raiders,Pink Camo,,,,,,1,3.00,est,est,,,,IMG_4933,,UNLISTED
Football,,Topps,Chrome,10,Bo Nix,Broncos,,,,,,,1,3.00,est,est,,,sealed,IMG_4935,,UNLISTED
Football,,Topps,Finest,85,George Kittle,49ers,Xfractor,,,,,,1,3.00,est,est,,,sealed,IMG_4941,,UNLISTED
Football,,Topps,Chrome Cosmic,,Trey McBride,Cardinals,,,,,,,1,3.00,est,est,,,sealed,IMG_4942,,UNLISTED
Football,,Topps,Chrome,23,Christian McCaffrey,49ers,Pink Xfractor,,,,,,1,3.00,est,est,,,sealed,IMG_4942,,UNLISTED
Football,,Panini,Mosaic,95,Myles Garrett,Browns,Red,,,,,,1,3.00,est,est,,,,IMG_4948,,UNLISTED
Football,,Panini,Prizm,22,Trent McDuffie,Chiefs,,,,,,,1,3.00,est,est,,,,IMG_4950,,UNLISTED
Football,,Panini,Mosaic Men of Mastery,11,Larry Fitzgerald,Cardinals,White Sparkle,,,,,,1,3.00,est,est,,,sealed,IMG_4950,,UNLISTED
