Sport,Year,Brand,Set,CardNumber,Player,Team,Parallel_Attributes,Serial,GradingCompany,Grade,CertNumber,IsAuto,Quantity,ListPrice,PricingBasis,CompSource,ConditionNotes,SourcePhoto,ImageURL_pro,MarketplaceStatus
,2024,Topps,(Round 1 Pick 29),13,Isaiah Collier,Jazz,,,,,,Y,1,20.00,est,,RC auto,IMG_4878,,UNLISTED
,,Topps,Midnight,,Daniel Gafford,Mavericks,,,,,,Y,1,20.00,est,,auto,IMG_4878,,UNLISTED
,2025,Signature Series,,14,Asa Newell,Hawks,,13/99,,,,,1,20.00,est,,RC,IMG_4883,,UNLISTED
,2025,Signature Series,,11,Spurs rookie (confirm),Spurs,,48/65,,,,,1,20.00,est,,RC; confirm player,IMG_4883,,UNLISTED
,2025,Donruss,Elite Prospect Yearbook,,JB Middleton,Colorado,,,,,,Y,1,20.00,est,,draft auto,IMG_4892,,UNLISTED
,,Donruss,Signature Series,,Khadim Diaw,Twins,,,,,,Y,1,20.00,est,,auto,IMG_4892,,UNLISTED
,,Donruss,Optic (bronze frame),78,Spencer Jones,Yankees,Bronze,87/99,,,,,1,20.00,est,,,IMG_4893,,UNLISTED
,2023,Panini,Origins Rookie Autographs,80,Zay Flowers,Ravens,,,,,,Y,1,20.00,est,,"RC on-card auto, sealed case",IMG_4895,,UNLISTED
,2025,Panini,Phoenix,2,Ashton Jeanty,Raiders,,,,,,Y,1,20.00,est,,"RC dual patch auto, sealed case",IMG_4895,,UNLISTED
,,Topps,Tier One Crowd Pleasers,27,Matt Kemp,Dodgers,,/75,,,,Y,1,20.00,est,,"auto /75, sealed",IMG_4896,,UNLISTED
,,Topps,Finest,,Jackson Jobe,Tigers,,11/50,,,,Y,1,20.00,est,,"RC jersey auto /50, sealed",IMG_4896,,UNLISTED
,2025,Signature Series,Perpetual Talents,5,Darius Acuff Jr.,,,54/75,,,,,1,20.00,est,,"RC, sealed",IMG_4899,,UNLISTED
,,Panini,Canvas Creations,32,Bill Walton,Trail Blazers,,,,,,Y,1,20.00,est,,auto,IMG_4899,,UNLISTED
,,Panini,Black Futuristic,7,C.J. Stroud,Texans,,04/99,,,,,1,20.00,est,,"RC jersey, sealed",IMG_4900,,UNLISTED
,,Topps,Chrome Bundesliga,,Bilal El Khannouss,VfB Stuttgart,Green,64/99,,,,,1,20.00,est,,soccer,IMG_4904,,UNLISTED
,,Topps,Chrome Bundesliga,,Ezechiel Banzuzi,RB Leipzig,Purple,/75,,,,,1,20.00,est,,soccer RC,IMG_4904,,UNLISTED
,,Topps,Chrome Ultrabeam,,Rayan Philippe,Hamburger SV,Gold,29/50,,,,,1,20.00,est,,soccer RC,IMG_4904,,UNLISTED
,,Topps,Chrome Bundesliga,,Patrik Schick,Bayer Leverkusen,Purple,32/75,,,,Y,1,20.00,est,,soccer auto,IMG_4904,,UNLISTED
,,Topps,Chrome Bundesliga,,Johan Bakayoko,RB Leipzig,Green,07/99,,,,Y,1,20.00,est,,soccer auto,IMG_4904,,UNLISTED
,2025,Panini,Signature Series Tools of the Trade,,Ryan Kalkbrenner,Hornets,,21/49,,,,Y,1,20.00,est,,"RC triple relic auto, sealed",IMG_4905,,UNLISTED
,,Panini,Signature,94,Kony Ealy,Panthers,,,,,,Y,1,20.00,est,,,IMG_4906,,UNLISTED
,,Panini,Prizm Significant Signatures,25,Hassan Haskins,Chargers,,,,,,Y,1,20.00,est,,,IMG_4906,,UNLISTED
,2025,Donruss,Elite Turn of the Century,11,Abdul Carter,Giants,Red,11/75,,,,Y,1,20.00,est,,RC auto,IMG_4906,,UNLISTED
,,Topps,Chrome,97,Mario Edwards Jr.,Raiders,,,,,,Y,1,20.00,est,,,IMG_4906,,UNLISTED
,2015,Sage,Draft Picks,75,Cameron Erving,Florida State,,,,,,Y,1,20.00,est,,RC auto,IMG_4926,,UNLISTED
,2014,Panini,Prizm,,T.J. Warren,Suns,,,,,,Y,1,20.00,est,,RC auto,IMG_4936,,UNLISTED
,2014,Panini,Prizm,,Cory Jefferson,Nets,,,,,,Y,1,20.00,est,,RC auto,IMG_4936,,UNLISTED
,,Panini,Limited Team Trademarks,6,Jordan Clarkson,Lakers,,16/99,,,,,1,20.00,est,,jersey,IMG_4936,,UNLISTED
,,Panini,Immaculate Collection Brilliance,,Ethan Conrad,Cubs,,43/99,,,,,1,20.00,est,,prospect jersey,IMG_4938,,UNLISTED
,,Panini,Impeccable Immaculate Autographs,0,MarJon Beauchamp,Bucks,,76/88,,,,Y,1,20.00,est,,RC auto,IMG_4939,,UNLISTED
,,Panini,Limited Unlimited Materials,,Thon Maker,Bucks,,17/39,,,,,1,20.00,est,,patch,IMG_4940,,UNLISTED
,,Panini,Limited,,Georgios Papagiannis,Kings,,,,,,Y,1,20.00,est,,RC jersey auto,IMG_4940,,UNLISTED
,,Panini,Prizm Sensational Signatures,,Randall Cobb,Packers,Pink Xfractor,,,,,Y,1,20.00,est,,"auto, sealed",IMG_4941,,UNLISTED
,,Panini,Phoenix Signatures Moments,14,DK Metcalf,Seahawks,,,,,,Y,1,20.00,est,,"auto, sealed",IMG_4941,,UNLISTED
,,Panini,Prizm Franchise Legends,85,Antonio Gates,Chargers,,,,,,Y,1,20.00,est,,"auto, sealed",IMG_4942,,UNLISTED
,,Panini,Plates & Patches Legends,,Tony Gonzalez,Chiefs,,37/65,,,,,1,20.00,est,,,IMG_4948,,UNLISTED
,,Panini,Limited,1,Trevor Ariza,Rockets,,30/99,,,,,1,20.00,est,,,IMG_4949,,UNLISTED
,,Panini,Limited,9,Nikola Vucevic,Magic,,41/49,,,,,1,20.00,est,,,IMG_4949,,UNLISTED
,,Panini,Limited,95,DeAndre' Bembry,Hawks,,08/49,,,,Y,1,20.00,est,,RC jersey auto,IMG_4949,,UNLISTED
,,Panini,Immaculate Collection,,Adrian Gonzalez,Dodgers,,94/99,,,,Y,1,20.00,est,,dual jersey auto,IMG_4955,,UNLISTED
,,Leaf,Flash,8,Lamar Jackson,Ravens,Blue,076/150,,,,,1,19.00,sticker,,confirm brand,IMG_4848,,UNLISTED
,,Topps,Finest Creators,17,Josh Allen,Bills,,058/150,,,,,1,18.00,sticker,,,IMG_4840,,UNLISTED
,,Panini,Immortalized (auto patch),,Redskins WR (confirm),Commanders,Xfractor-style,39/99,,,,Y,1,17.00,sticker,,confirm player,IMG_4842,,UNLISTED
,2023,Topps,Now,,Victor Wembanyama,Spurs,,,,,,,1,15.00,est,,6.20.23 1st pitch Bronx MLB card,IMG_4815,,UNLISTED
,,Topps,Finest,8,Kobe Bryant,Lakers,,,,,,,1,15.00,est,,Guard subset,IMG_4815,,UNLISTED
,2023-24,Panini,Prizm Monopoly,,Victor Wembanyama,Spurs,Base,,,,,,1,15.00,est,,RC,IMG_4816,,UNLISTED
,,Panini,Prizm All-Star,,LeBron James,Lakers,Red,,,,,,1,15.00,est,,All-Star subset,IMG_4816,,UNLISTED
,,Topps,Chrome,,Shohei Ohtani,Angels,,,,,,,1,15.00,est,,All-Star Game refractor,IMG_4818,,UNLISTED
,,Leaf,Exclusive Legends Edition,,Stephen Curry / Kevin Durant,Warriors,Wave,,,,,,1,15.00,est,,dual player,IMG_4820,,UNLISTED
,,Panini,Prizm,9,Joe Burrow,Bengals,,,,,,,1,15.00,est,,,IMG_4825,,UNLISTED
,,Topps,75th (Dodgers Duo),,Shohei Ohtani,Dodgers,,,,,,,1,15.00,est,,Dodgers Duo insert,IMG_4829,,UNLISTED
,,Topps,Chrome (National),17,Shohei Ohtani,Dodgers,,,,,,,1,15.00,est,,National Convention,IMG_4829,,UNLISTED
,,Topps,Finest,,Shohei Ohtani,Angels,,,,,,,1,15.00,est,,refractor,IMG_4829,,UNLISTED
,,Bowman,,,Shohei Ohtani,Angels,,,,,,,1,15.00,est,,ornate frame insert,IMG_4829,,UNLISTED
,2017,Bowman,Rookie of the Year Favorites,,Aaron Judge,Yankees,,,,,,,1,15.00,est,,RC insert,IMG_4829,,UNLISTED
,,Panini,Prizm,1,Anthony Edwards,Timberwolves,Blue,,,,,,1,15.00,est,,,IMG_4831,,UNLISTED
,,Panini,NBA Hoops Lights Camera Action,,Luka Doncic,Lakers,,,,,,,1,15.00,est,,,IMG_4831,,UNLISTED
,,Panini,Limited Unlimited Potential,20,Breece Hall,Jets,,,,,,,1,15.00,est,,RC jersey,IMG_4831,,UNLISTED
,,Topps,Chrome Ball Duty,2,Shai Gilgeous-Alexander,Thunder,,036/199,,,,,1,15.00,est,,,IMG_4832,,UNLISTED
,,Donruss,Rated Prospect,,Bobby Witt Jr.,Royals,Red,006/149,,,,,1,15.00,est,,,IMG_4833,,UNLISTED
,,Fleer,Autographics,22,Michael Redd,Bucks,,,,,,Y,1,15.00,sticker,,,IMG_4835,,UNLISTED
,,Panini,Contenders Permit to Dominate,22,Blake Corum,Rams,,,,,,,1,15.00,sticker,,RC,IMG_4835,,UNLISTED
,,Topps,Inception,,confirm (baseball prospect),,Red,,,,,Y,1,15.00,sticker,,auto; player ID unclear,IMG_4838,,UNLISTED
,,Donruss,Canvas Creations,,Jett Williams,Mets,,37/49,,,,Y,1,15.00,sticker,,confirm player,IMG_4839,,UNLISTED
,2023-24,Topps,(Round 1 Pick 1),1,Victor Wembanyama,Spurs,,,,,,,1,15.00,sticker,,RC,IMG_4840,,UNLISTED
,,Donruss,Optic My House,34,Giannis Antetokounmpo,Bucks,,,,,,,1,15.00,est,,,IMG_4843,,UNLISTED
,,Donruss,Optic,34,Giannis Antetokounmpo,Bucks,Purple,,,,,,1,15.00,est,,,IMG_4844,,UNLISTED
,,Topps,Chrome Highlights (Euphoria),,Victor Wembanyama,Spurs,,,,,,,1,15.00,est,,,IMG_4846,,UNLISTED
,,Panini,Immaculate Collection,,Payton Tolle,Red Sox,,25/49,,,,,1,15.00,sticker,,RC jersey,IMG_4847,,UNLISTED
,,Panini,Spectra Brilliance,35,Pablo Sandoval,Braves,,,,,,,1,15.00,est,,jersey,IMG_4847,,UNLISTED
,,Custom,Booom!,54,Horace Grant,Bulls,,,BGS,Auth Auto,00018295811,Y,1,15.00,sticker,,FLAG: Beckett labels CUSTOM card; auto authentic - disclose,IMG_4851,,UNLISTED
,,Custom,Booom!,54,Horace Grant,Bulls,,,BGS,Auth Auto,00019294047,Y,1,15.00,sticker,,FLAG: Beckett labels CUSTOM card; auto authentic - disclose,IMG_4851,,UNLISTED
,,Topps,Chrome Light Speed,,Josh Allen,Bills,,,,,,,1,15.00,est,,,IMG_4858,,UNLISTED
,,Panini,Select Multiverse,58,Von Miller,Broncos,Red,,,,,,1,15.00,est,,dual jersey,IMG_4859,,UNLISTED
,,Donruss,Elite Coverage,21,Ezekiel Elliott,Cowboys,,,,,,,1,15.00,est,,jersey,IMG_4859,,UNLISTED
,,Panini,Select Multiverse,5,Marquise Brown,Chiefs,,,,,,,1,15.00,est,,dual jersey,IMG_4860,,UNLISTED
,1992-93,Upper Deck,All-Star Weekend,,Michael Jordan,Bulls,,,,,,,1,15.00,est,,East AS insert,IMG_4861,,UNLISTED
,,Donruss,Elite Career Best,,Aaron Judge,Yankees,,,,,,,1,15.00,est,,62 HR,IMG_4862,,UNLISTED
,,Donruss,Unleashed,,Bobby Witt Jr.,Royals,,091/199,,,,,1,15.00,est,,,IMG_4862,,UNLISTED
,,Donruss,Elite,,Aaron Judge,Yankees,,,,,,,1,15.00,est,,,IMG_4863,,UNLISTED
,,Panini,NBA Hoops All-Star,,Shai Gilgeous-Alexander,Thunder,Holo,,,,,,1,15.00,est,,,IMG_4866,,UNLISTED
,,Panini,NBA Hoops Finals Pursuit,2,Shai Gilgeous-Alexander,Thunder,Holo,,,,,,1,15.00,est,,,IMG_4866,,UNLISTED
,2025,Topps,(Round 1 Pick 3),77,Luka Doncic,Lakers,,,,,,,1,15.00,est,,,IMG_4867,,UNLISTED
,2023,Panini,Select,15,Patrick Mahomes II,Chiefs,Silver,,,,,,1,15.00,est,,,IMG_4873,,UNLISTED
,2025,Panini,NBA Hoops (Hvala Za Vse Luka),,Luka Doncic,Lakers,,,,,,,1,15.00,est,,tribute insert,IMG_4876,,UNLISTED
,2025,Panini,NBA Hoops All-Star,,Stephen Curry,Warriors,Holo,,,,,,1,15.00,est,,,IMG_4877,,UNLISTED
,2025,Panini,NBA Hoops All-Star,,Victor Wembanyama,Spurs,,,,,,,1,15.00,est,,,IMG_4877,,UNLISTED
,,Panini,NBA Hoops,,Victor Wembanyama,Spurs,,,,,,,1,15.00,est,,,IMG_4877,,UNLISTED
,,Upper Deck,Pros & Prospects,8,Kobe Bryant,Lakers,,,,,,,1,15.00,est,,,IMG_4878,,UNLISTED
,,Topps,Unfazed,15,Nikola Jokic,Nuggets,,,,,,,1,15.00,est,,,IMG_4885,,UNLISTED
,,Panini,Prizm,34,Giannis Antetokounmpo,Bucks,,,,,,,1,15.00,est,,,IMG_4889,,UNLISTED
,2020,Panini,Elite Extra Edition First Round Materials,,Heston Kjerstad,Orioles,,,,,,,1,15.00,est,,jersey,IMG_4892,,UNLISTED
,,Topps,Contemporary Collection Lucky Draw,13,Bam Adebayo,Heat,,,,,,,1,15.00,est,,"NBA logo/Eastern patch, sealed",IMG_4899,,UNLISTED
,,Panini,Stars & Stripes Throwback,25,Bryce Eldridge,USA/Giants,,,,,,,1,15.00,est,,"USA jersey relic, sealed",IMG_4901,,UNLISTED
,,Panini,Limited No Limit,23,LeBron James,Cavaliers,,,,,,,1,15.00,est,,,IMG_4902,,UNLISTED
,,Topps,Finest,7,Bobby Witt Jr.,Royals,,,,,,,1,15.00,est,,,IMG_4907,,UNLISTED
,,Topps,Finest,,Shohei Ohtani,Dodgers,,,,,,,1,15.00,est,,,IMG_4907,,UNLISTED
,,Topps,Finest,,Paul Skenes,Pirates,,,,,,,1,15.00,est,,,IMG_4909,,UNLISTED
,,Topps,Finest,27,Mike Trout,Angels,,,,,,,1,15.00,est,,,IMG_4910,,UNLISTED
,,Upper Deck,MVP Back to Back,23,Michael Jordan,Bulls,,,,,,,1,15.00,est,,"insert, sealed",IMG_4913,,UNLISTED
,,Upper Deck,Pros & Prospects,24,Kobe Bryant,Lakers,,,,,,,1,15.00,est,,,IMG_4917,,UNLISTED
,,Panini,NBA Hoops,5,Anthony Edwards,Timberwolves,Holo,,,,,,1,15.00,est,,,IMG_4919,,UNLISTED
,,Fleer,Tradition,8,Kobe Bryant,Lakers,,,,,,,1,15.00,est,,,IMG_4921,,UNLISTED
,,Panini,NBA Hoops,1,Victor Wembanyama,Spurs,,,,,,,1,15.00,est,,,IMG_4922,,UNLISTED
,,Panini,NBA Hoops Highlights,,Stephen Curry,Warriors,,,,,,,1,15.00,est,,,IMG_4923,,UNLISTED
,,Panini,NBA Hoops (Winter),15,Nikola Jokic,Nuggets,Sparkle,,,,,,1,15.00,est,,,IMG_4924,,UNLISTED
,,Topps,Chrome Cosmic,15,Patrick Mahomes II,Chiefs,,,,,,,1,15.00,est,,sealed,IMG_4927,,UNLISTED
,,Panini,Mosaic Men of Mastery,12,Tom Brady,Buccaneers,,,,,,,1,15.00,est,,,IMG_4929,,UNLISTED
,,Panini,Mosaic,17,Josh Allen,Bills,Silver,,,,,,1,15.00,est,,,IMG_4930,,UNLISTED
,,Panini,Mosaic Touchdown Masters,9,Joe Burrow,Bengals,,,,,,,1,15.00,est,,,IMG_4932,,UNLISTED
,,Panini,Mosaic,1,Ja'Marr Chase,Bengals,Pink Camo,,,,,,1,15.00,est,,,IMG_4932,,UNLISTED
,,Donruss,Elite Spell Bound,,Paul Skenes,Pirates,,,,,,,1,15.00,est,,,IMG_4934,,UNLISTED
,,Panini,Origins,,Stephen Curry,Warriors,,,,,,,1,15.00,est,,,IMG_4936,,UNLISTED
,2025,Panini,Threads,,Javon Small,Grizzlies,,,,,,,1,15.00,est,,RC jersey,IMG_4937,,UNLISTED
,,Panini,Origins,,Cameron Thomas,Nets,,,,,,,1,15.00,est,,RC jumbo jersey,IMG_4937,,UNLISTED
,,Upper Deck,The MJ Records Almanac,23,Michael Jordan,Bulls,,,,,,,1,15.00,est,,,IMG_4940,,UNLISTED
,,Upper Deck,Hardcourt,8,Kobe Bryant,Lakers,,,,,,,1,15.00,est,,,IMG_4940,,UNLISTED
,2025,Donruss,Optic Phenom,15,Riley Leonard,Colts,,,,,,,1,15.00,est,,RC jersey,IMG_4942,,UNLISTED
,,Fleer,Tradition,8,Kobe Bryant,Lakers,,,,,,,1,15.00,est,,Western subset,IMG_4943,,UNLISTED
,,Upper Deck,New Court Order,8,Kobe Bryant,Lakers,,,,,,,1,15.00,est,,,IMG_4943,,UNLISTED
,,Topps,206 (mini jersey),,Cliff Floyd,Marlins,,,,,,,1,15.00,est,,"game-worn jersey, sealed",IMG_4945,,UNLISTED
,,Donruss,,30,Paul Skenes,Pirates,,,,,,,1,15.00,est,,,IMG_4946,,UNLISTED
,,Bowman,Chrome Electric Sluggers,,Aaron Judge,Yankees,,,,,,,1,15.00,est,,sealed,IMG_4947,,UNLISTED
,,Topps,Chrome Light Speed,15,Patrick Mahomes II,Chiefs,,,,,,,1,15.00,est,,sealed,IMG_4948,,UNLISTED
,2025,Panini,NBA Hoops All-Star,,Anthony Edwards,Timberwolves,Holo,,,,,,1,15.00,est,,sealed,IMG_4953,,UNLISTED
,1994,Bowman,Bowman's Best,44,Rickey Henderson,Athletics,Red,,PSA,8 NM-MT,12449165,,1,13.00,sticker,,,IMG_4857,,UNLISTED
,1986-87,Fleer,Super Star Sticker,32,Kevin McHale,Celtics,,,,,,,1,12.00,est,,sticker,IMG_4831,,UNLISTED
,1982,Topps,NFC All Pro,,Lawrence Taylor,Giants,,,,,,,1,12.00,est,,vintage,IMG_4844,,UNLISTED
,1988,Fleer,,16,Bo Jackson,Royals,,,,,,,1,12.00,est,,,IMG_4864,,UNLISTED
,1981-82,Topps,Super Action,,Celtics player (confirm),Celtics,,,,,,,1,12.00,est,,confirm player (Bird SA?),IMG_4880,,UNLISTED
,1978-79,Topps,,,Wes Unseld,Bullets,,,,,,,1,12.00,est,,,IMG_4880,,UNLISTED
,1978-79,Topps,,12,Mike Gale,Spurs,,,,,,,1,12.00,est,,,IMG_4880,,UNLISTED
,1978-79,Topps,,44,Dan Issel,Nuggets,,,,,,,1,12.00,est,,,IMG_4880,,UNLISTED
,1981-82,Topps,,10,Magic Johnson,Lakers,,,,,,,1,12.00,est,,2nd year,IMG_4880,,UNLISTED
,1978-79,Topps,,,Pete Maravich,Jazz,,,,,,,1,12.00,est,,2nd Team All-Star,IMG_4880,,UNLISTED
,1978-79,Topps,,10,Jo Jo White,Celtics,,,,,,,1,12.00,est,,,IMG_4881,,UNLISTED
,1978-79,Topps,,,Bill Walton,Trail Blazers,,,,,,,1,12.00,est,,1st Team All-Star,IMG_4881,,UNLISTED
,,Panini,Origins,,James Bouknight,Hornets,,,,,,,1,11.00,sticker,,RC,IMG_4838,,UNLISTED
,,Panini,Signatures,,Dylan Crews,Nationals,,08/99,,,,Y,1,10.00,sticker,,,IMG_4836,,UNLISTED
,,Topps,Class Action,18,Caleb Williams,Bears,Red,215/299,,,,,1,10.00,est,,RC insert,IMG_4843,,UNLISTED
,2025,Topps,(Round 1 Pick 29),33,Liam McNeeley,Hornets,Green,074/150,,,,,1,10.00,est,,RC,IMG_4869,,UNLISTED
,2025,Signature Series,,99,RJ Davis,Lakers,,075/199,,,,,1,10.00,est,,RC,IMG_4883,,UNLISTED
,,Signature Series,,41,Dirk Nowitzki,Mavericks,,165/199,,,,,1,10.00,est,,,IMG_4883,,UNLISTED
,,Upper Deck,High Court,,Juwan Howard,Wizards,,0074/1300,,,,,1,10.00,est,,,IMG_4915,,UNLISTED
,2025,Topps,(Round 1 Pick),,Cavaliers rookie (confirm),Cavaliers,Purple,020/100,,,,,1,10.00,est,,confirm player,IMG_4915,,UNLISTED
,,Topps,(Round 2 Pick 39),22,Khris Middleton,Wizards,,202/250,,,,,1,10.00,est,,,IMG_4919,,UNLISTED
,2024,Topps,(Round 1 Pick 5),00,Ron Holland II,Pistons,Purple,038/100,,,,,1,10.00,est,,,IMG_4919,,UNLISTED
,2025,Topps,(Round 1 Pick 36),,Adou Thiero,Lakers,Teal,116/225,,,,,1,10.00,est,,RC; confirm team,IMG_4919,,UNLISTED
,,Topps,Chrome,94,Cameron Jordan,Saints,Blue Wave,035/150,,,,,1,10.00,est,,,IMG_4925,,UNLISTED
,2025,Donruss,Elite Prospects,,Tyler Bremner,Angels,,060/150,,,,,1,10.00,est,,,IMG_4946,,UNLISTED
,,Panini,Mosaic Swagger,15,Patrick Mahomes II,Chiefs,,,,,,,1,8.25,sticker,,,IMG_4849,,UNLISTED
,,Donruss,Optic,3,Anthony Davis,Lakers,Purple,,,,,,1,7.50,sticker,,,IMG_4846,,UNLISTED
,2025,Topps,Chrome Fanatical,,VJ Edgecombe,76ers,,,,,,,1,6.00,est,,RC insert,IMG_4814,,UNLISTED
,2024,Topps,Chrome Sapphire,,Yoshinobu Yamamoto,Dodgers,Blue,,,,,,1,6.00,est,,RC Rookie Debut; confirm Sapphire vs cracked ice,IMG_4818,,UNLISTED
,,Panini,Prizm Black,,Justin Herbert,Chargers,Black,,,,,,1,6.00,est,,RC,IMG_4822,,UNLISTED
,,Donruss,Downtown,15,Rome Odunze,Bears,Downtown SSP,,,,,,1,6.00,est,,RC insert,IMG_4824,,UNLISTED
,,Panini,Select,17,Puka Nacua,Rams,Blue,,,,,,1,6.00,est,,RC,IMG_4825,,UNLISTED
,,Panini,Mosaic Kaleidoscope,10,Bo Nix,Broncos,Kaleidoscope,,,,,,1,6.00,est,,RC,IMG_4826,,UNLISTED
,2025,Topps,Chrome,1,Cam Ward,Titans,,,,,,,1,6.00,est,,RC,IMG_4831,,UNLISTED
,,Panini,Classics Rookies,16,Jameson Williams,Lions,Gold,,,,,,1,6.00,est,,RC,IMG_4833,,UNLISTED
,,Panini,Mosaic,97,Aidan Hutchinson,Lions,Red/Disco,,,,,,1,6.00,est,,RC,IMG_4838,,UNLISTED
,,Donruss,Optic Rated Rookie,8,Isaac TeSlaa,Lions,Green,,,,,,1,6.00,est,,RC,IMG_4838,,UNLISTED
,,Donruss,,,Brice Matthews,Astros,,,,,,,1,6.00,est,,RC,IMG_4841,,UNLISTED
,,Panini,Prizm,10,Quinshon Judkins,Browns,Orange,,,,,,1,6.00,est,,RC,IMG_4843,,UNLISTED
,,Topps,Chrome,13,Caleb Williams,Bears,Xfractor,,,,,,1,6.00,est,,RC,IMG_4843,,UNLISTED
,2010,Topps,Chrome,15,Tim Tebow,Broncos,,,,,,,1,6.00,est,,RC,IMG_4845,,UNLISTED
,2025,Panini,Phoenix,6,Jaxson Dart,Giants,,,,,,,1,6.00,est,,RC,IMG_4848,,UNLISTED
,2024,Panini,Prizm,,Malik Nabers,Giants,Pink,,,,,,1,6.00,est,,RC,IMG_4848,,UNLISTED
,,Topps,Chrome,,Trey Benson,Cardinals,,,,,,,1,6.00,est,,RC,IMG_4858,,UNLISTED
,,Panini,Edge,89,Brock Bowers,Raiders,Green,,,,,,1,6.00,est,,RC,IMG_4858,,UNLISTED
,,Topps,Chrome,10,Bo Nix,Broncos,Xfractor,,,,,,1,6.00,est,,RC,IMG_4859,,UNLISTED
,2025,Panini,Prizm,9,Emeka Egbuka,Buccaneers,,,,,,,1,6.00,est,,RC,IMG_4860,,UNLISTED
,2025,Panini,Select,24,Malaki Starks,Ravens,,,,,,,1,6.00,est,,RC,IMG_4860,,UNLISTED
,,Donruss,Diamond Marvels,57,Bubba Chandler,Pirates,,,,,,,1,6.00,est,,RC,IMG_4862,,UNLISTED
,,Bowman,Sterling Chrome,,Roman Anthony,Red Sox,,,,,,,1,6.00,est,,RC; confirm team/photo,IMG_4862,,UNLISTED
,2026,Topps,Chrome (Big Ticket Player),26,Chase Burns,Reds,,,,,,,1,6.00,est,,RC,IMG_4863,,UNLISTED
,,Donruss,Elite Prospects,85,Kevin McGonigle,Tigers,,,,,,,1,6.00,est,,RC,IMG_4863,,UNLISTED
,,Topps,Chrome,,Drake Maye,Patriots,Xfractor,,,,,,1,6.00,est,,RC,IMG_4865,,UNLISTED
,2025,Topps,Pure,,Ace Bailey,Jazz,,,,,,,1,6.00,est,,RC,IMG_4866,,UNLISTED
,2025,Signature Series,,50,Vlad Goldin,Heat,,,,,,,1,6.00,est,,RC,IMG_4867,,UNLISTED
,2025,Panini,NBA Hoops Next Episode,7,Kon Knueppel,Hornets,,,,,,,1,6.00,est,,RC,IMG_4867,,UNLISTED
,2025,Donruss,Rated Rookie,17,Neoklis Avdalas,,Green,,,,,,1,6.00,est,,RC; confirm team,IMG_4867,,UNLISTED
,2025,Donruss,Rated Rookie,30,Jamir Watkins,Wizards,Green,,,,,,1,6.00,est,,RC,IMG_4867,,UNLISTED
,2025,Bowman,Chrome,30,Jamir Watkins,Wizards,,,,,,,1,6.00,est,,RC,IMG_4867,,UNLISTED
,,Donruss,Optic Rated Prospect,,Kayson Cunningham,Diamondbacks,Orange,,,,,,1,6.00,est,,RC,IMG_4868,,UNLISTED
,,Donruss,Rated Prospect,,Ryan Sloan,Mariners,,,,,,,1,6.00,est,,RC,IMG_4868,,UNLISTED
,2025,Panini,NBA Hoops,77,VJ Edgecombe,76ers,,,,,,,1,6.00,est,,RC,IMG_4869,,UNLISTED
,2025,Panini,Mosaic Notoriety,6,Jalen Milroe,Seahawks,,,,,,,1,6.00,est,,RC,IMG_4870,,UNLISTED
,2025,Panini,Absolute,53,Oluwafemi Oladejo,Titans,,,,,,,1,6.00,est,,RC,IMG_4870,,UNLISTED
,,Panini,Prizm,5,AJ McCarron,Bengals,,,,,,,1,6.00,est,,RC,IMG_4870,,UNLISTED
,2025,Panini,Mosaic Notoriety,,Shedeur Sanders,Browns,,,,,,,1,6.00,est,,RC,IMG_4871,,UNLISTED
,2025,Panini,Mosaic,44,Cam Skattebo,Giants,Silver,,,,,,1,6.00,est,,RC,IMG_4872,,UNLISTED
,,Panini,Select,,Bijan Robinson,Falcons,,,,,,,1,6.00,est,,RC,IMG_4872,,UNLISTED
,2023,Panini,Select,,C.J. Stroud,Texans,,,,,,,1,6.00,est,,RC,IMG_4873,,UNLISTED
,2025,Topps,Chrome Power Players,,Abdul Carter,Giants,,,,,,,1,6.00,est,,RC,IMG_4874,,UNLISTED
,,Topps,Chrome,,Michael Penix Jr.,Falcons,Blue Refractor,,,,,,1,6.00,est,,RC,IMG_4874,,UNLISTED
,2025,Topps,Chrome Power Players,,Travis Hunter,Jaguars,,,,,,,1,6.00,est,,RC,IMG_4874,,UNLISTED
,2025,Topps,Chrome,,Cam Ward,Titans,Refractor,,,,,,1,6.00,est,,RC,IMG_4875,,UNLISTED
,2025,Donruss,Rookies (White Hot),,Travis Hunter,Jaguars,,,,,,,1,6.00,est,,RC,IMG_4875,,UNLISTED
,,Panini,Mosaic NFL Debut,,Michael Penix Jr.,Falcons,Pink Camo,,,,,,1,6.00,est,,RC,IMG_4875,,UNLISTED
,,Panini,Origins,45,Keon Johnson,Clippers,,,,,,,1,6.00,est,,RC,IMG_4876,,UNLISTED
,2025,Topps,Midnight,77,Ben Saraf,Nets,,,,,,,1,6.00,est,,RC,IMG_4876,,UNLISTED
,,Panini,Prizm,0,Jaylen Wells,Grizzlies,Red,,,,,,1,6.00,est,,RC,IMG_4882,,UNLISTED
,2014,Panini,Prizm,,Noah Vonleh,Hornets,,,,,,,1,6.00,est,,RC,IMG_4884,,UNLISTED
,2025,Topps,Unfazed,24,Tyrese Proctor,Cavaliers,,,,,,,1,6.00,est,,RC,IMG_4886,,UNLISTED
,2024,Panini,Select Rookie Revolution,00,Ron Holland II,Pistons,,,,,,,1,6.00,est,,RC,IMG_4888,,UNLISTED
