rank,value_usd,pricing_basis,comp_source,player,year,brand,set,parallel,serial,graded,cert,auto,team,card_no,sticker_price,photo,slot,needs_more,comp_note,notes
176,20.00,est,,Jimmy Rollins,,Donruss,Elite Career Best,Green,95/99,raw,,,Phillies,,,IMG_4868,1,,,
177,20.00,est,,Buddy Hield,,Panini,Limited,,04/49,raw,,Y,Pelicans,,,IMG_4877,2,,,RC jersey auto
178,20.00,est,,Jamal Shead,2024,Panini,NBA Hoops Live,,,raw,,Y,Raptors,23,,IMG_4878,1,,,RC auto
179,20.00,est,,Isaiah Collier,2024,Topps,(Round 1 Pick 29),,,raw,,Y,Jazz,13,,IMG_4878,2,,,RC auto
180,20.00,est,,Daniel Gafford,,Topps,Midnight,,,raw,,Y,Mavericks,,,IMG_4878,4,,,auto
181,20.00,est,,Asa Newell,2025,Signature Series,,,13/99,raw,,,Hawks,14,,IMG_4883,2,,,RC
182,20.00,est,,Spurs rookie (confirm),2025,Signature Series,,,48/65,raw,,,Spurs,11,,IMG_4883,3,Y,,RC; confirm player
183,20.00,est,,JB Middleton,2025,Donruss,Elite Prospect Yearbook,,,raw,,Y,Colorado,,,IMG_4892,1,,,draft auto
184,20.00,est,,Khadim Diaw,,Donruss,Signature Series,,,raw,,Y,Twins,,,IMG_4892,4,,,auto
185,20.00,est,,Spencer Jones,,Donruss,Optic (bronze frame),Bronze,87/99,raw,,,Yankees,78,,IMG_4893,4,,,
186,20.00,est,,Zay Flowers,2023,Panini,Origins Rookie Autographs,,,raw,,Y,Ravens,80,,IMG_4895,1,,,"RC on-card auto, sealed case"
187,20.00,est,,Ashton Jeanty,2025,Panini,Phoenix,,,raw,,Y,Raiders,2,,IMG_4895,2,,,"RC dual patch auto, sealed case"
188,20.00,est,,Matt Kemp,,Topps,Tier One Crowd Pleasers,,/75,raw,,Y,Dodgers,27,,IMG_4896,1,,,"auto /75, sealed"
189,20.00,est,,Jackson Jobe,,Topps,Finest,,11/50,raw,,Y,Tigers,,,IMG_4896,2,,,"RC jersey auto /50, sealed"
190,20.00,est,,Darius Acuff Jr.,2025,Signature Series,Perpetual Talents,,54/75,raw,,,,5,,IMG_4899,3,,,"RC, sealed"
191,20.00,est,,Bill Walton,,Panini,Canvas Creations,,,raw,,Y,Trail Blazers,32,,IMG_4899,4,,,auto
192,20.00,est,,C.J. Stroud,,Panini,Black Futuristic,,04/99,raw,,,Texans,7,,IMG_4900,2,,,"RC jersey, sealed"
193,20.00,est,,Bilal El Khannouss,,Topps,Chrome Bundesliga,Green,64/99,raw,,,VfB Stuttgart,,,IMG_4904,1,,,soccer
194,20.00,est,,Ezechiel Banzuzi,,Topps,Chrome Bundesliga,Purple,/75,raw,,,RB Leipzig,,,IMG_4904,2,,,soccer RC
195,20.00,est,,Rayan Philippe,,Topps,Chrome Ultrabeam,Gold,29/50,raw,,,Hamburger SV,,,IMG_4904,3,,,soccer RC
196,20.00,est,,Patrik Schick,,Topps,Chrome Bundesliga,Purple,32/75,raw,,Y,Bayer Leverkusen,,,IMG_4904,4,,,soccer auto
197,20.00,est,,Johan Bakayoko,,Topps,Chrome Bundesliga,Green,07/99,raw,,Y,RB Leipzig,,,IMG_4904,6,,,soccer auto
198,20.00,est,,Ryan Kalkbrenner,2025,Panini,Signature Series Tools of the Trade,,21/49,raw,,Y,Hornets,,,IMG_4905,4,,,"RC triple relic auto, sealed"
199,20.00,est,,Kony Ealy,,Panini,Signature,,,raw,,Y,Panthers,94,,IMG_4906,1,,,
200,20.00,est,,Hassan Haskins,,Panini,Prizm Significant Signatures,,,raw,,Y,Chargers,25,,IMG_4906,2,,,
201,20.00,est,,Abdul Carter,2025,Donruss,Elite Turn of the Century,Red,11/75,raw,,Y,Giants,11,,IMG_4906,4,,,RC auto
202,20.00,est,,Mario Edwards Jr.,,Topps,Chrome,,,raw,,Y,Raiders,97,,IMG_4906,6,,,
203,20.00,est,,Cameron Erving,2015,Sage,Draft Picks,,,raw,,Y,Florida State,75,,IMG_4926,6,,,RC auto
204,20.00,est,,T.J. Warren,2014,Panini,Prizm,,,raw,,Y,Suns,,,IMG_4936,1,,,RC auto
205,20.00,est,,Cory Jefferson,2014,Panini,Prizm,,,raw,,Y,Nets,,,IMG_4936,4,,,RC auto
206,20.00,est,,Jordan Clarkson,,Panini,Limited Team Trademarks,,16/99,raw,,,Lakers,6,,IMG_4936,6,,,jersey
207,20.00,est,,Ethan Conrad,,Panini,Immaculate Collection Brilliance,,43/99,raw,,,Cubs,,,IMG_4938,1,,,prospect jersey
208,20.00,est,,MarJon Beauchamp,,Panini,Impeccable Immaculate Autographs,,76/88,raw,,Y,Bucks,0,,IMG_4939,6,,,RC auto
209,20.00,est,,Thon Maker,,Panini,Limited Unlimited Materials,,17/39,raw,,,Bucks,,,IMG_4940,2,,,patch
210,20.00,est,,Georgios Papagiannis,,Panini,Limited,,,raw,,Y,Kings,,,IMG_4940,3,,,RC jersey auto
211,20.00,est,,Randall Cobb,,Panini,Prizm Sensational Signatures,Pink Xfractor,,raw,,Y,Packers,,,IMG_4941,1,,,"auto, sealed"
212,20.00,est,,DK Metcalf,,Panini,Phoenix Signatures Moments,,,raw,,Y,Seahawks,14,,IMG_4941,2,,,"auto, sealed"
213,20.00,est,,Antonio Gates,,Panini,Prizm Franchise Legends,,,raw,,Y,Chargers,85,,IMG_4942,6,,,"auto, sealed"
214,20.00,est,,Tony Gonzalez,,Panini,Plates & Patches Legends,,37/65,raw,,,Chiefs,,,IMG_4948,3,,,
215,20.00,est,,Trevor Ariza,,Panini,Limited,,30/99,raw,,,Rockets,1,,IMG_4949,1,,,
216,20.00,est,,Nikola Vucevic,,Panini,Limited,,41/49,raw,,,Magic,9,,IMG_4949,2,,,
217,20.00,est,,DeAndre' Bembry,,Panini,Limited,,08/49,raw,,Y,Hawks,95,,IMG_4949,3,,,RC jersey auto
218,20.00,est,,Adrian Gonzalez,,Panini,Immaculate Collection,,94/99,raw,,Y,Dodgers,,,IMG_4955,2,,,dual jersey auto
219,19.00,sticker,,Lamar Jackson,,Leaf,Flash,Blue,076/150,raw,,,Ravens,8,19,IMG_4848,2,Y,,confirm brand
220,18.00,sticker,,Josh Allen,,Topps,Finest Creators,,058/150,raw,,,Bills,17,18,IMG_4840,3,,,
221,17.00,sticker,,Redskins WR (confirm),,Panini,Immortalized (auto patch),Xfractor-style,39/99,raw,,Y,Commanders,,17,IMG_4842,4,Y,,confirm player
222,15.00,est,,Victor Wembanyama,2023,Topps,Now,,,raw,,,Spurs,,,IMG_4815,4,,,6.20.23 1st pitch Bronx MLB card
223,15.00,est,,Kobe Bryant,,Topps,Finest,,,raw,,,Lakers,8,,IMG_4815,5,,,Guard subset
224,15.00,est,,Victor Wembanyama,2023-24,Panini,Prizm Monopoly,Base,,raw,,,Spurs,,,IMG_4816,2,,,RC
225,15.00,est,,LeBron James,,Panini,Prizm All-Star,Red,,raw,,,Lakers,,,IMG_4816,3,,,All-Star subset
226,15.00,est,,Shohei Ohtani,,Topps,Chrome,,,raw,,,Angels,,,IMG_4818,6,,,All-Star Game refractor
227,15.00,est,,Stephen Curry / Kevin Durant,,Leaf,Exclusive Legends Edition,Wave,,raw,,,Warriors,,,IMG_4820,1,,,dual player
228,15.00,est,,Joe Burrow,,Panini,Prizm,,,raw,,,Bengals,9,,IMG_4825,1,,,
229,15.00,est,,Shohei Ohtani,,Topps,75th (Dodgers Duo),,,raw,,,Dodgers,,,IMG_4829,1,,,Dodgers Duo insert
230,15.00,est,,Shohei Ohtani,,Topps,Chrome (National),,,raw,,,Dodgers,17,,IMG_4829,2,,,National Convention
231,15.00,est,,Shohei Ohtani,,Topps,Finest,,,raw,,,Angels,,,IMG_4829,3,,,refractor
232,15.00,est,,Shohei Ohtani,,Bowman,,,,raw,,,Angels,,,IMG_4829,4,,,ornate frame insert
233,15.00,est,,Aaron Judge,2017,Bowman,Rookie of the Year Favorites,,,raw,,,Yankees,,,IMG_4829,5,,,RC insert
234,15.00,est,,Anthony Edwards,,Panini,Prizm,Blue,,raw,,,Timberwolves,1,,IMG_4831,2,,,
235,15.00,est,,Luka Doncic,,Panini,NBA Hoops Lights Camera Action,,,raw,,,Lakers,,,IMG_4831,4,,,
236,15.00,est,,Breece Hall,,Panini,Limited Unlimited Potential,,,raw,,,Jets,20,,IMG_4831,8,,,RC jersey
237,15.00,est,,Shai Gilgeous-Alexander,,Topps,Chrome Ball Duty,,036/199,raw,,,Thunder,2,,IMG_4832,6,,,
238,15.00,est,,Bobby Witt Jr.,,Donruss,Rated Prospect,Red,006/149,raw,,,Royals,,,IMG_4833,5,,,
239,15.00,sticker,,Michael Redd,,Fleer,Autographics,,,raw,,Y,Bucks,22,15,IMG_4835,3,,,
240,15.00,sticker,,Blake Corum,,Panini,Contenders Permit to Dominate,,,raw,,,Rams,22,15,IMG_4835,4,,,RC
241,15.00,sticker,,confirm (baseball prospect),,Topps,Inception,Red,,raw,,Y,,,15,IMG_4838,3,Y,,auto; player ID unclear
242,15.00,sticker,,Jett Williams,,Donruss,Canvas Creations,,37/49,raw,,Y,Mets,,15,IMG_4839,1,Y,,confirm player
243,15.00,sticker,,Victor Wembanyama,2023-24,Topps,(Round 1 Pick 1),,,raw,,,Spurs,1,15,IMG_4840,1,,,RC
244,15.00,est,,Giannis Antetokounmpo,,Donruss,Optic My House,,,raw,,,Bucks,34,,IMG_4843,4,,,
245,15.00,est,,Giannis Antetokounmpo,,Donruss,Optic,Purple,,raw,,,Bucks,34,,IMG_4844,3,,,
246,15.00,est,,Victor Wembanyama,,Topps,Chrome Highlights (Euphoria),,,raw,,,Spurs,,,IMG_4846,3,,,
247,15.00,sticker,,Payton Tolle,,Panini,Immaculate Collection,,25/49,raw,,,Red Sox,,15,IMG_4847,1,,,RC jersey
248,15.00,est,,Pablo Sandoval,,Panini,Spectra Brilliance,,,raw,,,Braves,35,,IMG_4847,2,,,jersey
249,15.00,sticker,,Horace Grant,,Custom,Booom!,,,BGS Auth Auto,00018295811,Y,Bulls,54,15,IMG_4851,1,Y,,FLAG: Beckett labels CUSTOM card; auto authentic - disclose
250,15.00,sticker,,Horace Grant,,Custom,Booom!,,,BGS Auth Auto,00019294047,Y,Bulls,54,15,IMG_4851,5,Y,,FLAG: Beckett labels CUSTOM card; auto authentic - disclose
251,15.00,est,,Josh Allen,,Topps,Chrome Light Speed,,,raw,,,Bills,,,IMG_4858,4,,,
252,15.00,est,,Von Miller,,Panini,Select Multiverse,Red,,raw,,,Broncos,58,,IMG_4859,1,,,dual jersey
253,15.00,est,,Ezekiel Elliott,,Donruss,Elite Coverage,,,raw,,,Cowboys,21,,IMG_4859,2,,,jersey
254,15.00,est,,Marquise Brown,,Panini,Select Multiverse,,,raw,,,Chiefs,5,,IMG_4860,5,,,dual jersey
255,15.00,est,,Michael Jordan,1992-93,Upper Deck,All-Star Weekend,,,raw,,,Bulls,,,IMG_4861,4,,,East AS insert
256,15.00,est,,Aaron Judge,,Donruss,Elite Career Best,,,raw,,,Yankees,,,IMG_4862,4,,,62 HR
257,15.00,est,,Bobby Witt Jr.,,Donruss,Unleashed,,091/199,raw,,,Royals,,,IMG_4862,5,,,
258,15.00,est,,Aaron Judge,,Donruss,Elite,,,raw,,,Yankees,,,IMG_4863,1,,,
259,15.00,est,,Shai Gilgeous-Alexander,,Panini,NBA Hoops All-Star,Holo,,raw,,,Thunder,,,IMG_4866,3,,,
260,15.00,est,,Shai Gilgeous-Alexander,,Panini,NBA Hoops Finals Pursuit,Holo,,raw,,,Thunder,2,,IMG_4866,5,,,
261,15.00,est,,Luka Doncic,2025,Topps,(Round 1 Pick 3),,,raw,,,Lakers,77,,IMG_4867,6,,,
262,15.00,est,,Patrick Mahomes II,2023,Panini,Select,Silver,,raw,,,Chiefs,15,,IMG_4873,1,,,
263,15.00,est,,Luka Doncic,2025,Panini,NBA Hoops (Hvala Za Vse Luka),,,raw,,,Lakers,,,IMG_4876,5,,,tribute insert
264,15.00,est,,Stephen Curry,2025,Panini,NBA Hoops All-Star,Holo,,raw,,,Warriors,,,IMG_4877,3,,,
265,15.00,est,,Victor Wembanyama,2025,Panini,NBA Hoops All-Star,,,raw,,,Spurs,,,IMG_4877,4,,,
266,15.00,est,,Victor Wembanyama,,Panini,NBA Hoops,,,raw,,,Spurs,,,IMG_4877,6,,,
267,15.00,est,,Kobe Bryant,,Upper Deck,Pros & Prospects,,,raw,,,Lakers,8,,IMG_4878,3,,,
268,15.00,est,,Nikola Jokic,,Topps,Unfazed,,,raw,,,Nuggets,15,,IMG_4885,5,,,
269,15.00,est,,Giannis Antetokounmpo,,Panini,Prizm,,,raw,,,Bucks,34,,IMG_4889,3,,,
270,15.00,est,,Heston Kjerstad,2020,Panini,Elite Extra Edition First Round Materials,,,raw,,,Orioles,,,IMG_4892,5,,,jersey
271,15.00,est,,Bam Adebayo,,Topps,Contemporary Collection Lucky Draw,,,raw,,,Heat,13,,IMG_4899,1,,,"NBA logo/Eastern patch, sealed"
272,15.00,est,,Bryce Eldridge,,Panini,Stars & Stripes Throwback,,,raw,,,USA/Giants,25,,IMG_4901,1,,,"USA jersey relic, sealed"
273,15.00,est,,LeBron James,,Panini,Limited No Limit,,,raw,,,Cavaliers,23,,IMG_4902,1,,,
274,15.00,est,,Bobby Witt Jr.,,Topps,Finest,,,raw,,,Royals,7,,IMG_4907,1,,,
275,15.00,est,,Shohei Ohtani,,Topps,Finest,,,raw,,,Dodgers,,,IMG_4907,3,,,
276,15.00,est,,Paul Skenes,,Topps,Finest,,,raw,,,Pirates,,,IMG_4909,5,,,
277,15.00,est,,Mike Trout,,Topps,Finest,,,raw,,,Angels,27,,IMG_4910,4,,,
278,15.00,est,,Michael Jordan,,Upper Deck,MVP Back to Back,,,raw,,,Bulls,23,,IMG_4913,1,,,"insert, sealed"
279,15.00,est,,Kobe Bryant,,Upper Deck,Pros & Prospects,,,raw,,,Lakers,24,,IMG_4917,4,,,
280,15.00,est,,Anthony Edwards,,Panini,NBA Hoops,Holo,,raw,,,Timberwolves,5,,IMG_4919,2,,,
281,15.00,est,,Kobe Bryant,,Fleer,Tradition,,,raw,,,Lakers,8,,IMG_4921,6,,,
282,15.00,est,,Victor Wembanyama,,Panini,NBA Hoops,,,raw,,,Spurs,1,,IMG_4922,5,,,
283,15.00,est,,Stephen Curry,,Panini,NBA Hoops Highlights,,,raw,,,Warriors,,,IMG_4923,2,,,
284,15.00,est,,Nikola Jokic,,Panini,NBA Hoops (Winter),Sparkle,,raw,,,Nuggets,15,,IMG_4924,1,,,
285,15.00,est,,Patrick Mahomes II,,Topps,Chrome Cosmic,,,raw,,,Chiefs,15,,IMG_4927,5,,,sealed
286,15.00,est,,Tom Brady,,Panini,Mosaic Men of Mastery,,,raw,,,Buccaneers,12,,IMG_4929,5,,,
287,15.00,est,,Josh Allen,,Panini,Mosaic,Silver,,raw,,,Bills,17,,IMG_4930,6,,,
288,15.00,est,,Joe Burrow,,Panini,Mosaic Touchdown Masters,,,raw,,,Bengals,9,,IMG_4932,1,,,
289,15.00,est,,Ja'Marr Chase,,Panini,Mosaic,Pink Camo,,raw,,,Bengals,1,,IMG_4932,2,,,
290,15.00,est,,Paul Skenes,,Donruss,Elite Spell Bound,,,raw,,,Pirates,,,IMG_4934,4,,,
291,15.00,est,,Stephen Curry,,Panini,Origins,,,raw,,,Warriors,,,IMG_4936,3,,,
292,15.00,est,,Javon Small,2025,Panini,Threads,,,raw,,,Grizzlies,,,IMG_4937,2,,,RC jersey
293,15.00,est,,Cameron Thomas,,Panini,Origins,,,raw,,,Nets,,,IMG_4937,3,,,RC jumbo jersey
294,15.00,est,,Michael Jordan,,Upper Deck,The MJ Records Almanac,,,raw,,,Bulls,23,,IMG_4940,4,,,
295,15.00,est,,Kobe Bryant,,Upper Deck,Hardcourt,,,raw,,,Lakers,8,,IMG_4940,6,,,
296,15.00,est,,Riley Leonard,2025,Donruss,Optic Phenom,,,raw,,,Colts,15,,IMG_4942,4,,,RC jersey
297,15.00,est,,Kobe Bryant,,Fleer,Tradition,,,raw,,,Lakers,8,,IMG_4943,4,,,Western subset
298,15.00,est,,Kobe Bryant,,Upper Deck,New Court Order,,,raw,,,Lakers,8,,IMG_4943,5,,,
299,15.00,est,,Cliff Floyd,,Topps,206 (mini jersey),,,raw,,,Marlins,,,IMG_4945,2,,,"game-worn jersey, sealed"
300,15.00,est,,Paul Skenes,,Donruss,,,,raw,,,Pirates,30,,IMG_4946,2,,,
301,15.00,est,,Aaron Judge,,Bowman,Chrome Electric Sluggers,,,raw,,,Yankees,,,IMG_4947,2,,,sealed
302,15.00,est,,Patrick Mahomes II,,Topps,Chrome Light Speed,,,raw,,,Chiefs,15,,IMG_4948,4,,,sealed
303,15.00,est,,Anthony Edwards,2025,Panini,NBA Hoops All-Star,Holo,,raw,,,Timberwolves,,,IMG_4953,2,,,sealed
304,13.00,sticker,,Rickey Henderson,1994,Bowman,Bowman's Best,Red,,PSA 8 NM-MT,12449165,,Athletics,44,13,IMG_4857,2,,,
305,12.00,est,,Kevin McHale,1986-87,Fleer,Super Star Sticker,,,raw,,,Celtics,32,,IMG_4831,3,,,sticker
306,12.00,est,,Lawrence Taylor,1982,Topps,NFC All Pro,,,raw,,,Giants,,,IMG_4844,1,,,vintage
307,12.00,est,,Bo Jackson,1988,Fleer,,,,raw,,,Royals,16,,IMG_4864,4,,,
308,12.00,est,,Celtics player (confirm),1981-82,Topps,Super Action,,,raw,,,Celtics,,,IMG_4880,1,Y,,confirm player (Bird SA?)
309,12.00,est,,Wes Unseld,1978-79,Topps,,,,raw,,,Bullets,,,IMG_4880,2,,,
310,12.00,est,,Mike Gale,1978-79,Topps,,,,raw,,,Spurs,12,,IMG_4880,3,,,
311,12.00,est,,Dan Issel,1978-79,Topps,,,,raw,,,Nuggets,44,,IMG_4880,4,,,
312,12.00,est,,Magic Johnson,1981-82,Topps,,,,raw,,,Lakers,10,,IMG_4880,5,,,2nd year
313,12.00,est,,Pete Maravich,1978-79,Topps,,,,raw,,,Jazz,,,IMG_4880,6,,,2nd Team All-Star
314,12.00,est,,Jo Jo White,1978-79,Topps,,,,raw,,,Celtics,10,,IMG_4881,1,,,
315,12.00,est,,Bill Walton,1978-79,Topps,,,,raw,,,Trail Blazers,,,IMG_4881,2,,,1st Team All-Star
316,11.00,sticker,,James Bouknight,,Panini,Origins,,,raw,,,Hornets,,11,IMG_4838,1,,,RC
317,10.00,sticker,,Dylan Crews,,Panini,Signatures,,08/99,raw,,Y,Nationals,,10,IMG_4836,3,,,
318,10.00,est,,Caleb Williams,,Topps,Class Action,Red,215/299,raw,,,Bears,18,,IMG_4843,1,,,RC insert
319,10.00,est,,Liam McNeeley,2025,Topps,(Round 1 Pick 29),Green,074/150,raw,,,Hornets,33,,IMG_4869,2,,,RC
320,10.00,est,,RJ Davis,2025,Signature Series,,,075/199,raw,,,Lakers,99,,IMG_4883,1,,,RC
321,10.00,est,,Dirk Nowitzki,,Signature Series,,,165/199,raw,,,Mavericks,41,,IMG_4883,4,,,
322,10.00,est,,Juwan Howard,,Upper Deck,High Court,,0074/1300,raw,,,Wizards,,,IMG_4915,5,,,
323,10.00,est,,Cavaliers rookie (confirm),2025,Topps,(Round 1 Pick),Purple,020/100,raw,,,Cavaliers,,,IMG_4915,6,Y,,confirm player
324,10.00,est,,Khris Middleton,,Topps,(Round 2 Pick 39),,202/250,raw,,,Wizards,22,,IMG_4919,4,,,
325,10.00,est,,Ron Holland II,2024,Topps,(Round 1 Pick 5),Purple,038/100,raw,,,Pistons,00,,IMG_4919,5,,,
326,10.00,est,,Adou Thiero,2025,Topps,(Round 1 Pick 36),Teal,116/225,raw,,,Lakers,,,IMG_4919,6,Y,,RC; confirm team
327,10.00,est,,Cameron Jordan,,Topps,Chrome,Blue Wave,035/150,raw,,,Saints,94,,IMG_4925,1,,,
328,10.00,est,,Tyler Bremner,2025,Donruss,Elite Prospects,,060/150,raw,,,Angels,,,IMG_4946,4,,,
329,8.25,sticker,,Patrick Mahomes II,,Panini,Mosaic Swagger,,,raw,,,Chiefs,15,8.25,IMG_4849,1,,,
330,7.50,sticker,,Anthony Davis,,Donruss,Optic,Purple,,raw,,,Lakers,3,7.50,IMG_4846,2,,,
331,6.00,est,,VJ Edgecombe,2025,Topps,Chrome Fanatical,,,raw,,,76ers,,,IMG_4814,4,,,RC insert
332,6.00,est,,Yoshinobu Yamamoto,2024,Topps,Chrome Sapphire,Blue,,raw,,,Dodgers,,,IMG_4818,5,Y,,RC Rookie Debut; confirm Sapphire vs cracked ice
333,6.00,est,,Justin Herbert,,Panini,Prizm Black,Black,,raw,,,Chargers,,,IMG_4822,2,,,RC
334,6.00,est,,Rome Odunze,,Donruss,Downtown,Downtown SSP,,raw,,,Bears,15,,IMG_4824,4,,,RC insert
335,6.00,est,,Puka Nacua,,Panini,Select,Blue,,raw,,,Rams,17,,IMG_4825,6,,,RC
336,6.00,est,,Bo Nix,,Panini,Mosaic Kaleidoscope,Kaleidoscope,,raw,,,Broncos,10,,IMG_4826,1,,,RC
337,6.00,est,,Cam Ward,2025,Topps,Chrome,,,raw,,,Titans,1,,IMG_4831,6,,,RC
338,6.00,est,,Jameson Williams,,Panini,Classics Rookies,Gold,,raw,,,Lions,16,,IMG_4833,6,,,RC
339,6.00,est,,Aidan Hutchinson,,Panini,Mosaic,Red/Disco,,raw,,,Lions,97,,IMG_4838,7,,,RC
340,6.00,est,,Isaac TeSlaa,,Donruss,Optic Rated Rookie,Green,,raw,,,Lions,8,,IMG_4838,8,,,RC
341,6.00,est,,Brice Matthews,,Donruss,,,,raw,,,Astros,,,IMG_4841,4,,,RC
342,6.00,est,,Quinshon Judkins,,Panini,Prizm,Orange,,raw,,,Browns,10,,IMG_4843,2,,,RC
343,6.00,est,,Caleb Williams,,Topps,Chrome,Xfractor,,raw,,,Bears,13,,IMG_4843,6,,,RC
344,6.00,est,,Tim Tebow,2010,Topps,Chrome,,,raw,,,Broncos,15,,IMG_4845,1,,,RC
345,6.00,est,,Jaxson Dart,2025,Panini,Phoenix,,,raw,,,Giants,6,,IMG_4848,1,,,RC
346,6.00,est,,Malik Nabers,2024,Panini,Prizm,Pink,,raw,,,Giants,,,IMG_4848,7,,,RC
347,6.00,est,,Trey Benson,,Topps,Chrome,,,raw,,,Cardinals,,,IMG_4858,2,,,RC
348,6.00,est,,Brock Bowers,,Panini,Edge,Green,,raw,,,Raiders,89,,IMG_4858,6,,,RC
349,6.00,est,,Bo Nix,,Topps,Chrome,Xfractor,,raw,,,Broncos,10,,IMG_4859,5,,,RC
350,6.00,est,,Emeka Egbuka,2025,Panini,Prizm,,,raw,,,Buccaneers,9,,IMG_4860,1,,,RC
351,6.00,est,,Malaki Starks,2025,Panini,Select,,,raw,,,Ravens,24,,IMG_4860,2,,,RC
352,6.00,est,,Bubba Chandler,,Donruss,Diamond Marvels,,,raw,,,Pirates,57,,IMG_4862,1,,,RC
353,6.00,est,,Roman Anthony,,Bowman,Sterling Chrome,,,raw,,,Red Sox,,,IMG_4862,3,Y,,RC; confirm team/photo
354,6.00,est,,Chase Burns,2026,Topps,Chrome (Big Ticket Player),,,raw,,,Reds,26,,IMG_4863,4,,,RC
355,6.00,est,,Kevin McGonigle,,Donruss,Elite Prospects,,,raw,,,Tigers,85,,IMG_4863,5,,,RC
356,6.00,est,,Drake Maye,,Topps,Chrome,Xfractor,,raw,,,Patriots,,,IMG_4865,3,,,RC
357,6.00,est,,Ace Bailey,2025,Topps,Pure,,,raw,,,Jazz,,,IMG_4866,2,,,RC
358,6.00,est,,Vlad Goldin,2025,Signature Series,,,,raw,,,Heat,50,,IMG_4867,1,,,RC
359,6.00,est,,Kon Knueppel,2025,Panini,NBA Hoops Next Episode,,,raw,,,Hornets,7,,IMG_4867,2,,,RC
360,6.00,est,,Neoklis Avdalas,2025,Donruss,Rated Rookie,Green,,raw,,,,17,,IMG_4867,3,Y,,RC; confirm team
361,6.00,est,,Jamir Watkins,2025,Donruss,Rated Rookie,Green,,raw,,,Wizards,30,,IMG_4867,4,,,RC
362,6.00,est,,Jamir Watkins,2025,Bowman,Chrome,,,raw,,,Wizards,30,,IMG_4867,5,,,RC
363,6.00,est,,Kayson Cunningham,,Donruss,Optic Rated Prospect,Orange,,raw,,,Diamondbacks,,,IMG_4868,4,,,RC
364,6.00,est,,Ryan Sloan,,Donruss,Rated Prospect,,,raw,,,Mariners,,,IMG_4868,5,,,RC
365,6.00,est,,VJ Edgecombe,2025,Panini,NBA Hoops,,,raw,,,76ers,77,,IMG_4869,6,,,RC
366,6.00,est,,Jalen Milroe,2025,Panini,Mosaic Notoriety,,,raw,,,Seahawks,6,,IMG_4870,1,,,RC
367,6.00,est,,Oluwafemi Oladejo,2025,Panini,Absolute,,,raw,,,Titans,53,,IMG_4870,2,,,RC
368,6.00,est,,AJ McCarron,,Panini,Prizm,,,raw,,,Bengals,5,,IMG_4870,5,,,RC
369,6.00,est,,Shedeur Sanders,2025,Panini,Mosaic Notoriety,,,raw,,,Browns,,,IMG_4871,3,,,RC
370,6.00,est,,Cam Skattebo,2025,Panini,Mosaic,Silver,,raw,,,Giants,44,,IMG_4872,4,,,RC
371,6.00,est,,Bijan Robinson,,Panini,Select,,,raw,,,Falcons,,,IMG_4872,6,,,RC
372,6.00,est,,C.J. Stroud,2023,Panini,Select,,,raw,,,Texans,,,IMG_4873,2,,,RC
373,6.00,est,,Abdul Carter,2025,Topps,Chrome Power Players,,,raw,,,Giants,,,IMG_4874,1,,,RC
374,6.00,est,,Michael Penix Jr.,,Topps,Chrome,Blue Refractor,,raw,,,Falcons,,,IMG_4874,3,,,RC
375,6.00,est,,Travis Hunter,2025,Topps,Chrome Power Players,,,raw,,,Jaguars,,,IMG_4874,5,,,RC
376,6.00,est,,Cam Ward,2025,Topps,Chrome,Refractor,,raw,,,Titans,,,IMG_4875,1,,,RC
377,6.00,est,,Travis Hunter,2025,Donruss,Rookies (White Hot),,,raw,,,Jaguars,,,IMG_4875,3,,,RC
378,6.00,est,,Michael Penix Jr.,,Panini,Mosaic NFL Debut,Pink Camo,,raw,,,Falcons,,,IMG_4875,4,,,RC
379,6.00,est,,Keon Johnson,,Panini,Origins,,,raw,,,Clippers,45,,IMG_4876,2,,,RC
380,6.00,est,,Ben Saraf,2025,Topps,Midnight,,,raw,,,Nets,77,,IMG_4876,3,,,RC
381,6.00,est,,Jaylen Wells,,Panini,Prizm,Red,,raw,,,Grizzlies,0,,IMG_4882,3,,,RC
382,6.00,est,,Noah Vonleh,2014,Panini,Prizm,,,raw,,,Hornets,,,IMG_4884,6,,,RC
383,6.00,est,,Tyrese Proctor,2025,Topps,Unfazed,,,raw,,,Cavaliers,24,,IMG_4886,1,,,RC
384,6.00,est,,Ron Holland II,2024,Panini,Select Rookie Revolution,,,raw,,,Pistons,00,,IMG_4888,3,,,RC
385,6.00,est,,T.J. Warren,2014,Panini,Prizm,,,raw,,,Suns,12,,IMG_4888,4,,,RC
386,6.00,est,,VJ Edgecombe,2025,Topps,(Round 1 Pick 3),,,raw,,,76ers,77,,IMG_4889,1,,,RC
387,6.00,est,,Ron Holland II,2024,Panini,Prizm,Red Sparkle,,raw,,,Pistons,0,,IMG_4890,1,,,RC
388,6.00,est,,Luther Burden III,2025,Panini,Prizm Prizmatic,,,raw,,,Bears,87,,IMG_4891,1,,,RC
389,6.00,est,,Jalen McMillan,2024,Donruss,Optic Rated Rookie,Blue,,raw,,,Buccaneers,15,,IMG_4891,2,,,RC
390,6.00,est,,Mitch Voit,,Donruss,Optic Rated Prospect,Orange,,raw,,,Yankees,,,IMG_4892,3,,,RC
391,6.00,est,,Brice Matthews,,Topps,Chrome,Negative,,raw,,,Astros,28,,IMG_4893,1,,,RC
